No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
295,FISV,Fiserv Inc.,31.64B,58.82,-5.30%,21.19B
296,DOV,Dover Corporation,31.62B,230.57,-1.07%,8.09B
297,CTSH,Cognizant Technology Solutions Corporation,31.53B,65.83,-7.16%,21.11B
298,IRM,Iron Mountain Incorporated,31.33B,106.00,5.77%,6.90B
299,VICI,VICI Properties Inc.,31.06B,29.06,-0.38%,3.97B
300,RJF,Raymond James Financial Inc.,31.02B,157.41,-0.75%,14.22B
301,TPR,Tapestry Inc.,30.91B,152.66,-1.30%,7.51B
302,XYL,Xylem Inc.,30.73B,126.10,-0.53%,9.04B
303,TDY,Teledyne Technologies Incorporated,30.34B,646.30,-2.29%,6.12B
304,AEE,Ameren Corporation,30.22B,109.34,3.13%,8.80B
305,LEN,Lennar Corporation,29.84B,120.83,-0.13%,34.19B
306,ULTA,Ulta Beauty Inc.,29.60B,667.18,-2.32%,11.98B
307,PPG,PPG Industries Inc.,29.52B,131.56,0.40%,15.88B
308,HPE,Hewlett Packard Enterprise Company,29.50B,22.20,-6.76%,34.30B
309,ATO,Atmos Energy Corporation,29.41B,177.77,1.02%,4.87B
310,XYZ,Block Inc.,29.40B,49.09,-8.77%,23.97B
311,DTE,DTE Energy Company,29.26B,140.91,0.86%,14.82B
312,STLD,Steel Dynamics Inc.,29.14B,199.51,-3.05%,18.18B
313,KHC,The Kraft Heinz Company,28.79B,24.32,-2.68%,24.94B
314,TSCO,Tractor Supply Company,28.75B,54.41,-0.22%,15.52B
315,HAL,Halliburton Company,28.72B,34.29,-2.11%,22.18B
316,BIIB,Biogen Inc.,28.69B,195.50,2.25%,9.89B
317,IQV,IQVIA Holdings Inc.,28.64B,168.85,-4.70%,16.31B
318,TPL,Texas Pacific Land Corporation,28.36B,411.40,-0.52%,772.40M
319,CBOE,Cboe Global Markets Inc.,28.32B,270.60,0.73%,4.71B
320,ROL,Rollins Inc.,28.24B,58.69,-10.53%,3.76B
321,FE,FirstEnergy Corp.,28.21B,48.84,1.90%,14.28B
322,STZ,Constellation Brands Inc.,28.15B,162.36,-0.51%,9.38B
323,EXPE,Expedia Group Inc.,27.84B,227.24,-2.72%,14.73B
324,ON,ON Semiconductor Corporation,27.83B,70.63,-0.77%,6.00B
325,CFG,Citizens Financial Group Inc.,27.81B,64.78,-3.11%,7.64B
326,MTD,Mettler-Toledo International Inc.,27.60B,1357.92,-2.49%,4.03B
327,HUBB,Hubbell Incorporated,27.42B,516.02,,5.84B
328,DVN,Devon Energy Corporation,27.27B,43.96,-2.22%,16.55B
329,CNP,CenterPoint Energy Inc.,27.20B,41.66,1.49%,9.11B
330,PPL,PPL Corporation,27.08B,36.61,1.69%,8.98B
331,WRB,W. R. Berkley Corporation,27.02B,71.65,0.15%,14.71B
332,WTW,Willis Towers Watson Public Limited Company,26.91B,282.98,1.03%,9.71B
333,NTRS,Northern Trust Corporation,26.87B,144.21,-1.56%,8.09B
334,SW,Smurfit Westrock Plc,26.79B,51.42,2.27%,31.18B
335,PHM,PulteGroup Inc.,26.69B,138.89,-0.31%,17.31B
336,EIX,Edison International,26.58B,69.08,3.01%,18.09B
337,JBL,Jabil Inc.,26.52B,251.13,-3.81%,31.11B
338,ES,Eversource Energy,26.38B,70.32,0.14%,13.15B
339,IP,International Paper Company,25.96B,49.17,-0.04%,23.63B
340,GIS,General Mills Inc.,25.92B,48.58,-0.88%,18.78B
341,RF,Regions Financial Corporation,25.85B,29.78,-3.78%,7.06B
342,CINF,Cincinnati Financial Corporation,25.66B,165.11,1.01%,12.63B
343,DLTR,Dollar Tree Inc.,25.54B,128.43,2.74%,18.96B
344,DXCM,DexCom Inc.,25.38B,65.08,-4.50%,4.66B
345,AWK,American Water Works Company Inc.,25.05B,128.37,3.78%,5.07B
346,LUV,Southwest Airlines Co.,24.97B,50.83,-1.17%,28.06B
347,VRSK,Verisk Analytics Inc.,24.95B,179.00,3.01%,3.03B
348,SYF,Synchrony Financial,24.72B,71.11,-2.50%,9.76B
349,AVB,AvalonBay Communities Inc.,24.71B,175.26,-2.54%,3.04B
350,WSM,Williams-Sonoma Inc.,24.69B,206.79,-2.99%,7.91B
351,EXE,Expand Energy Corporation,24.64B,103.44,0.01%,10.78B
352,DRI,Darden Restaurants Inc.,24.51B,212.86,0.03%,12.58B
353,EQR,Equity Residential,24.41B,63.05,-2.47%,3.09B
354,FIS,Fidelity National Information Services Inc.,24.31B,46.95,-2.82%,10.46B
355,CHD,Church & Dwight Co. Inc.,24.01B,100.00,-0.46%,6.20B
356,FOXA,Fox Corporation,24.01B,56.43,-7.66%,16.58B
357,KEY,KeyCorp,23.99B,21.76,-3.46%,7.01B
358,STE,STERIS plc,23.95B,244.22,0.31%,5.83B
359,FSLR,First Solar Inc.,23.66B,220.45,-3.20%,5.05B
360,BG,Bunge Global SA,23.55B,121.74,-0.24%,70.33B
361,DOW,Dow Inc.,23.43B,32.65,-3.97%,39.97B
362,BRO,Brown & Brown Inc.,23.36B,69.53,3.75%,5.76B
363,CTRA,Coterra Energy Inc.,23.35B,30.78,-2.75%,6.67B
364,LH,Labcorp Holdings Inc.,23.06B,278.11,-4.06%,13.77B
365,AMCR,Amcor plc,22.97B,49.74,-0.70%,19.61B
366,CMS,CMS Energy Corporation,22.90B,74.73,0.28%,8.54B
367,FOX,Fox Corporation,22.87B,51.39,-7.32%,16.58B
368,VLTO,Veralto Corporation,22.84B,91.98,-3.18%,5.50B
369,DGX,Quest Diagnostics Incorporated,22.75B,206.86,-1.18%,11.04B
370,Q,Qnity Electronics Inc.,22.74B,108.54,-5.21%,4.67B
371,L,Loews Corporation,22.67B,110.01,-0.15%,18.45B
372,EFX,Equifax Inc.,22.66B,188.18,-4.77%,6.07B
373,NVR,NVR Inc.,22.62B,8096.16,-0.01%,10.44B
374,CPAY,Corpay Inc.,22.48B,321.32,-7.30%,4.53B
